Case, 1,250,500,750,1000
control,48.45,49.02,49.19,48.99,49.16
restful-direct,4795.44,6432.66,6025.57,5987.67,6270.23
restful-esi,3457.15,5225.74,5156.02,5101.10,4914.28
convetional-memcached,598.06,3374.52,3347.42,3317.61,3280.27
ajax-template,1701.78,4635.64,4601.91,4361.24,4487.73
ajax,2439.024390243902439024390244,3401.360544217687074829931973,3225.806451612903225806451613,3012.048192771084337349397590,3003.003003003003003003003003
spouse,4776.77,6763.52,6449.71,6082.32,6209.53
children,4983.10,6826.57,6433.35,5950.37,5800.08
