Case, 1,250,500,750,1000
control,0.652,0.286,0.293,0.295,0.309
restful-direct,0.659,0.296,0.299,0.293,0.291
restful-esi,2.267,1.877,2.098,2.098,2.152
ajax-template,0.660,0.302,0.304,0.311,0.313
traditional-direct,0.661,0.291,0.285,0.295,0.294
ajax,1.316,0.588,0.589,0.592,0.616
spouse,0.659,0.297,0.298,0.297,0.322
children,0.657,0.291,0.291,0.295,0.294
