Case, 1,10,100,1000
control,1508.85,3388.36,3452.32,6755.71
restful-direct,1494.41,3405.10,3400.41,7582.74
restful-esi,436.71,562.66,598.46,0
traditional-direct,1496.39,3400.19,3430.32,6930.48
spouse,1507.79,3336.14,3454.36,7386.82
children,1504.39,3342.54,3440.89,6505.47
