Case, 1,250,500,750,1000
control,0.670,0.317,0.312,0.302,0.397
restful-direct,20.930,20.741,20.753,20.570,20.683
restful-esi,22.588,21.571,21.623,21.727,0
ajax-template,0.669,0.302,0.308,0.306,0.313
traditional-direct,20.976,20.773,20.737,20.757,20.724
ajax,21.615,21.208,21.273,21.137,21.107
spouse,10.809,10.571,10.641,10.490,10.654
children,10.806,10.637,10.632,10.647,10.453
